Household and Garden,Small Waste and Accidental Fires,Agriculture,NRMM Construction,NRMM Industry,C&D Dust,Domestic Gas,Commercial Gas,Domestic Other Fuels,Commercial Other Fuels,Resuspension,Motorcycle_Exhaust,Motorcycle_Brake,Motorcycle_Tyre,Taxi_Exhaust,Taxi_Brake,Taxi_Tyre,Petrol Car_Exhaust,Petrol Car_Brake,Petrol Car_Tyre,Diesel Car_Exhaust,Diesel Car_Brake,Diesel Car_Tyre,Electric Car_Brake,Electric Car_Tyre,Petrol LGV_Exhaust,Petrol LGV_Brake,Petrol LGV_Tyre,Diesel LGV_Exhaust,Diesel LGV_Brake,Diesel LGV_Tyre,Electric LGV_Brake,Electric LGV_Tyre,TfL Bus_Exhaust,TfL Bus_Brake,TfL Bus_Tyre,Non-TfL Bus and Coach_Exhaust,Non-TfL Bus and Coach_Brake,Non-TfL Bus and Coach_Tyre,Artic HGV_Exhaust,Artic HGV_Brake,Artic HGV_Tyre,Rigid HGV_Exhaust,Rigid HGV_Brake,Rigid HGV_Tyre,conct
0.049999999999999996,0.023303156581688043,0.5466848440415388,0.0,0.4599176020578811,0.0,0.012393738577187004,0.084958888116658,0.23814614735505144,0.22738620665554543,0.006724659077056207,0.011827281702999156,0.015156684375796255,0.012506002571041841,0.00827056055415248,0.008726252191333281,0.0069958091298078125,0.014196561036702427,0.018314800263004475,0.01531372572133475,0.019211850670825967,0.01732164223584637,0.014887352537657753,0.018658088688686805,0.016941945381609178,0.011342360541620747,0.01490200302521731,0.012092778873796495,0.022361033321580574,0.015617405896267684,0.012241279250220345,0.016615818778962885,0.014832117529116486,0.0032556328163414953,0.004654051929168637,0.004646849343397459,0.010310980403988083,0.01286305208567185,0.010111786858880022,0.00349867032672402,0.0045122259702037775,0.0036392432270100318,0.008302918926073384,0.00842311754812061,0.0065454185718035246,0.3321972096823038
0.16,0.06727840755892076,0.44951754349451634,0.0,0.26047888480862236,0.0,0.007013672522996257,0.09719081220939539,0.05332440611385371,0.26130104180382635,0.1864780819201991,0.4781098644762335,0.1355756330127511,0.3775965899651138,0.8281934095290361,0.14401300644050746,0.46953229085351794,0.23322915745003314,0.2907832208817487,0.9164705932101636,0.2283642663043271,0.39244309154389767,0.2390108076899367,0.16653967126850616,0.428026261072183,0.2050901811720561,0.5001794387092233,0.20879629683639483,0.20089425637418326,0.41039407247812326,0.20925794074360957,0.2056503003897756,0.5119197168064926,0.11501390225621905,0.05730657986335573,0.16519475724255206,0.7214095994287038,0.27312399038715574,0.8000154510225918,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.3609329966878813,0.18940273173505723,0.7313838179647383
0.09999999999999999,0.06423106401240161,0.5531039950501573,0.0,0.0943897189638048,0.0,0.0195523573661387,0.09719001038999758,0.06342230163003593,0.2612988860831443,0.1864780819201991,0.12936211986625626,0.06619472950388253,0.11974606917216596,0.43024664639956106,0.08717765552616401,0.2302800527315813,0.5171858791212132,0.17237880894455648,0.42019545610333014,0.6408270655665844,0.2309099585715429,0.7268997812251803,0.10064094939061603,0.09334317368790267,0.2050901811720561,0.2802406302612662,0.8693314960610873,0.8990374518467641,0.2286847682571724,0.6061881293503966,0.1113519111317633,0.10153797392266414,0.01909300266076106,0.030117278493430197,0.030798921174708234,0.32712808867736337,0.14377684672728952,0.3262378749262359,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.8222779039216092,0.22610301748995504,0.6494303682826118,0.6598582702592011
0.35,0.22016160271021668,0.4491852287526529,0.0,0.0943897189638048,0.0,0.10767704040640028,0.15453221493227698,0.019790366578922244,0.41184858528525364,0.1864780819201991,0.16853259243731775,0.11285651533607215,0.162272837790253,0.44210664652486503,0.14094158286505185,0.27068052870018205,0.5181953353041223,0.19459528624871275,0.4289253226188358,0.6338715049641442,0.2818093666141279,0.7528242648886554,0.09026432495864625,0.08265408377083966,0.2050901811720561,0.31227391585204706,0.8627397472726729,0.8595557908135188,0.24059069078608117,0.5934408351733107,0.08004415674102483,0.07205095091973412,0.008870768499274024,0.012681103667473386,0.012661478459540914,0.27291652551786993,0.10724277641101677,0.2628075626927524,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.9058931023517134,0.33908013926851927,0.7515799334219494,0.6440032127759516
0.049999999999999996,0.02067650472887944,0.5631631707807048,0.0,0.23002046729486028,0.0,0.0034951226284766095,0.09810845914138829,0.07494333211298113,0.24131274677092948,0.1864780819201991,0.20360763985022562,0.08863122634702585,0.1891851899933767,0.580508219447385,0.12929730730008002,0.32695613026576087,0.6778627597956479,0.21237274455429692,0.5516634712304498,0.8565071316786762,0.3675304883594358,0.2390108076899367,0.0322697010524476,0.02952138698708448,0.2050901811720561,0.4838031375465287,0.20879629683639483,0.20089425637418326,0.3418995451238436,0.8999847842655523,0.02858597577302398,0.02570766981806057,0.0025677637833624234,0.003670716774208154,0.003665035992641822,0.4944106804520401,0.16608088798302845,0.46705560875365126,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.3756089299669105,0.18940273173505723,0.5833437008004645
0.10999999999999999,0.03976980204517001,0.5186075118742757,0.0,0.0025153736385821177,0.0,0.04129080844110829,0.05264700629512016,0.01995335726985319,0.1377967592359122,0.1864780819201991,0.2846945192627529,0.08340982276548639,0.2551622289188179,0.7537637701381358,0.10761906947065633,0.39648447005702614,0.8638678945152035,0.1948368277948676,0.689592458684843,0.2283642663043271,0.34859349388771443,0.2390108076899367,0.01700276767210579,0.015438878335467896,0.2050901811720561,0.45429609138491284,0.20879629683639483,0.20089425637418326,0.3172580016976187,0.20925794074360957,0.01512007657441393,0.013496942629446935,0.002963208209625486,0.0042360197425560285,0.0042294641011518235,0.6061890261588603,0.1745583017648285,0.5770332324258646,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.2936062170986506,0.9812112932724564,0.4513902640659624
0.42,0.15690634049046187,0.4315110428321074,0.0,0.05521785320847197,0.0,0.13988997043994558,0.052647440633903704,0.07912251575071806,0.1377978960617451,0.1864780819201991,0.3388974589014714,0.16135569612978656,0.313247365818161,0.7668053261104885,0.18785582860132494,0.44911649923481295,0.9059397806453248,0.28200206141903034,0.7428131883500236,0.2283642663043271,0.41878833507901303,0.2390108076899367,0.11932437242926852,0.10897727356625383,0.2050901811720561,0.5118432386333364,0.20879629683639483,0.20089425637418326,0.3898665888787417,0.20925794074360957,0.11733385320094782,0.10528241684438054,0.01726972974251004,0.02667996423769782,0.026638674468327246,0.6211409889855328,0.22408625255810985,0.5992555621114546,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.3188137484521825,0.9726888057767054,0.2513138140321627
0.03,0.011012317249176956,0.6433630474776435,0.0,0.02673167246129475,0.0,0.035825923001366104,0.14835126063822143,0.03942300234838439,0.17596090274907886,0.1864780819201991,0.261731913262713,0.0678353541809226,0.23246982344461778,0.6940885089111825,0.09369342376631239,0.36724336551154746,0.7975596480624035,0.16640427775097824,0.6365596265075568,0.2283642663043271,0.3033049336441206,0.2390108076899367,0.008356816972164774,0.007588169349434327,0.2050901811720561,0.3956201215902925,0.20879629683639483,0.20089425637418326,0.27443101753518995,0.9805005707469552,0.007442109895297012,0.0066432024867411265,0.001458316529804221,0.0020847193899774,0.002081493089445371,0.56156358828725,0.14963575591571146,0.5333945747839735,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.25544023126984605,0.9106862668696535,0.2269281658859743
0.06,0.021658132512647078,0.6001822183047208,0.0,0.0,0.0,0.020940018065714598,0.15562107472871747,0.03177895975373812,0.23007536148529462,0.7289545249914839,0.40528293181750585,0.11373125947365363,0.29715101266338806,0.3922850703112686,0.09697422845570759,0.25493621335150807,0.7831130438533345,0.2274208030015665,0.5922793515275286,0.6199496133700999,0.224175994401008,0.60977338666544,0.22164674770010867,0.6155980527553506,0.2050901811720561,0.24891746101523773,0.6719598260991788,0.20089425637418326,0.2519602100666492,0.6510728146930513,0.24998881271414428,0.7215149448405037,0.16257187300051937,0.07234086188875381,0.23190674507852468,0.3968697083407987,0.20906471703961282,0.5347868995900005,0.1345957142094913,0.6146613606329147,0.14440055963875043,0.5230073813286542,0.1984643197805278,0.5170256194268095,0.2051205673635721
0.58,0.24151314641333155,0.2315135743912609,0.0,0.2425885097975156,0.0,0.265079943356337,0.09719001038999758,0.1779491789621121,0.2612988860831443,0.796234601457465,0.2435057959473721,0.21412644510645606,0.23061194539495916,0.25909667384008844,0.19347179280481777,0.25081127805853404,0.6005002182727538,0.452668653944049,0.5528225845601384,0.5556825486939604,0.45285293095275714,0.6602645464649477,0.43383895221303953,0.4682722286161526,0.9353245780134327,0.5014653719645076,0.7171685068551855,0.616102588363564,0.5028212631499106,0.6232945797244122,0.4888545433700018,0.5178606288108845,0.09509753420571865,0.1261541447025374,0.15430091961880177,0.35621162211955926,0.36768149461871164,0.42212381399712123,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.6275491593164204,0.42361478428985255,0.5835993416219093,0.236621392538519
